year	oil	coal	gas	nuclear	renewables	total Twh per day
1800	0.00	0.27	0.00	0.00	15.22	15.49
1810	0.00	0.35	0.00	0.00	15.98	16.33
1820	0.00	0.42	0.00	0.00	16.74	17.16
1830	0.00	0.72	0.00	0.00	17.50	18.23
1840	0.00	0.97	0.00	0.00	19.03	20.00
1850	0.00	1.56	0.00	0.00	19.79	21.35
1860	0.00	2.91	0.00	0.00	19.03	21.93
1870	0.02	4.50	0.00	0.00	19.03	23.54
1880	0.09	6.96	0.00	0.00	19.06	26.11
1890	0.24	10.56	0.09	0.00	18.30	29.20
1900	0.49	15.69	0.18	0.00	16.79	33.15
1910	1.09	23.71	0.39	0.00	17.60	42.79
1920	2.44	26.94	0.64	0.00	19.20	49.22
1930	4.81	27.74	1.65	0.00	20.14	54.35
1940	7.27	31.74	2.40	0.00	20.31	61.72
1950	14.92	34.53	5.73	0.00	21.46	76.64
1960	30.10	42.31	12.25	0.02	26.24	110.92
1970	64.92	47.48	27.31	0.63	29.63	169.98
1971	79.24	45.81	28.46	0.92	23.08	175.96
1972	83.92	46.11	30.01	1.27	23.67	184.48
1973	91.37	47.68	31.12	1.69	24.10	194.38
1974	90.44	47.87	31.94	2.27	24.93	195.53
1975	88.70	48.89	31.81	3.19	25.35	196.99
1976	94.72	50.90	33.69	3.66	25.83	207.77
1977	99.22	52.42	34.46	4.46	26.41	215.17
1978	101.18	53.95	36.03	5.21	27.27	223.57
1979	104.02	56.14	38.29	5.41	28.10	230.40
1980	100.35	56.82	39.24	5.94	28.70	229.56
1981	95.78	57.43	39.52	7.02	29.26	227.93
1982	93.51	58.22	39.68	7.59	29.95	227.95
1983	92.45	59.50	40.41	8.63	30.76	230.55
1984	94.40	61.72	43.31	10.45	31.85	239.63
1985	93.49	63.94	44.92	12.41	32.45	246.13
1986	97.21	64.45	45.63	13.32	33.00	251.32
1987	99.33	66.98	48.16	14.46	33.80	260.70
1988	102.68	68.98	50.24	15.72	34.34	269.80
1989	104.61	68.92	52.25	16.12	34.92	274.41
1990	104.97	70.76	52.99	16.75	35.88	279.38
1991	104.97	68.88	54.83	17.52	36.56	281.27
1992	105.53	67.71	54.89	17.66	37.24	281.56
1993	107.12	67.91	55.81	18.21	37.67	284.29
1994	108.31	68.54	55.79	18.64	38.09	286.38
1995	109.45	70.36	57.58	19.38	38.97	293.74
1996	113.09	71.53	59.68	20.09	39.59	301.17
1997	116.57	71.01	60.20	19.89	40.04	304.16
1998	116.38	70.81	60.76	20.32	40.46	305.70
1999	116.84	71.08	63.52	21.03	41.09	312.29
2000	119.34	74.64	65.87	21.53	41.74	320.43
2001	120.64	75.19	66.19	21.92	41.71	323.07
2002	121.03	77.26	68.57	22.11	42.40	329.49
2003	124.04	82.97	71.02	21.90	43.37	340.85
2004	129.07	89.95	72.80	22.75	44.80	356.97
2005	130.21	94.00	74.95	23.00	46.18	365.82
2006	131.44	99.50	76.85	23.20	47.51	376.21
2007	131.64	103.03	80.42	22.60	48.81	385.00
2008	132.53	103.72	82.53	22.72	50.38	389.39
2009	130.23	104.48	80.70	22.41	51.55	386.68
2010	133.12	111.71	87.18	22.91	54.00	407.50
2011	134.01	120.75	88.91	21.47	55.44	418.48
2012	136.51	122.29	90.52	20.45	57.28	424.67
2013	136.36	124.50	92.46	20.60	59.41	431.47

