year	oil	coal	gas	nuclear	renewables	total_kWh_per_person_per_day
1800	0.00	0.28	0.00	0.00	15.98	16.26
1810	0.00	0.34	0.00	0.00	15.52	15.86
1820	0.00	0.40	0.00	0.00	15.84	16.23
1830	0.00	0.63	0.00	0.00	15.36	15.99
1840	0.00	0.81	0.00	0.00	15.85	16.67
1850	0.00	1.23	0.00	0.00	15.50	16.73
1860	0.00	2.18	0.00	0.00	14.27	16.45
1870	0.01	3.37	0.00	0.00	14.27	17.65
1880	0.06	4.93	0.00	0.00	13.49	18.49
1890	0.16	6.90	0.06	0.00	11.96	19.08
1900	0.30	9.51	0.11	0.00	10.18	20.08
1910	0.62	13.37	0.22	0.00	9.92	24.13
1920	1.28	14.12	0.33	0.00	10.07	25.81
1930	2.31	13.29	0.79	0.00	9.66	26.04
1940	3.16	13.78	1.04	0.00	8.82	26.80
1950	5.90	13.65	2.27	0.00	8.48	30.30
1960	9.95	14.00	4.06	0.01	8.68	36.69
1970	17.62	12.88	7.41	0.18	8.04	46.13
1971	21.09	12.19	7.57	0.25	6.14	46.83
1972	21.89	12.03	7.83	0.33	6.17	48.12
1973	23.37	12.20	7.96	0.43	6.17	49.72
1974	22.69	12.01	8.01	0.57	6.25	49.06
1975	21.84	12.04	7.83	0.79	6.24	48.50
1976	22.90	12.31	8.14	0.89	6.24	50.23
1977	23.56	12.45	8.18	1.06	6.27	51.09
1978	23.61	12.59	8.41	1.22	6.36	52.16
1979	23.85	12.87	8.78	1.24	6.44	52.82
1980	22.60	12.80	8.84	1.34	6.47	51.71
1981	21.20	12.71	8.75	1.55	6.48	50.44
1982	20.33	12.66	8.63	1.65	6.51	49.57
1983	19.75	12.71	8.63	1.84	6.57	49.25
1984	19.81	12.95	9.09	2.19	6.68	50.28
1985	19.27	13.18	9.26	2.56	6.69	50.72
1986	19.67	13.04	9.23	2.70	6.68	50.85
1987	19.73	13.31	9.57	2.87	6.71	51.79
1988	20.03	13.45	9.80	3.07	6.70	52.63
1989	20.04	13.21	10.01	3.09	6.69	52.58
1990	19.77	13.33	9.98	3.15	6.76	52.62
1991	19.45	12.76	10.16	3.25	6.77	52.10
1992	19.24	12.35	10.01	3.22	6.79	51.33
1993	19.23	12.19	10.02	3.27	6.76	51.04
1994	19.16	12.12	9.87	3.30	6.74	50.66
1995	19.08	12.27	10.04	3.38	6.79	51.22
1996	19.45	12.30	10.26	3.45	6.81	51.79
1997	19.78	12.05	10.21	3.37	6.79	51.60
1998	19.49	11.86	10.18	3.40	6.77	51.19
1999	19.31	11.75	10.50	3.48	6.79	51.63
2000	19.48	12.18	10.75	3.51	6.81	52.30
2001	19.44	12.12	10.67	3.53	6.72	52.07
2002	19.27	12.30	10.91	3.52	6.75	52.45
2003	19.50	13.04	11.17	3.44	6.82	53.59
2004	20.04	13.97	11.30	3.53	6.96	55.43
2005	19.97	14.42	11.50	3.53	7.08	56.11
2006	19.91	15.08	11.64	3.51	7.20	57.00
2007	19.70	15.42	12.04	3.38	7.31	57.62
2008	19.59	15.33	12.20	3.36	7.45	57.57
2009	19.02	15.26	11.79	3.27	7.53	56.48
2010	19.21	16.12	12.58	3.31	7.79	58.80
2011	19.11	17.22	12.68	3.06	7.90	59.67
2012	19.23	17.23	12.75	2.88	8.07	59.83
2013	18.99	17.34	12.87	2.87	8.27	60.08

