year	dollars_per_L_2016
1861	0.08199404608684986
1862	0.15813137459606758
1863	0.38464388415259687
1864	0.7747956712731336
1865	0.6472582351478791
1866	0.3840333383047355
1867	0.25924939644661416
1868	0.41001206413123226
1869	0.41114157394977563
1870	0.45893767363971477
1871	0.5446747347197882
1872	0.4568239710553062
1873	0.22966699643714575
1874	0.15547370443478906
1875	0.18482887939800102
1876	0.3614431419338686
1877	0.34167672010936023
1878	0.18539540469883775
1879	0.13876834913532457
1880	0.14800473484361
1881	0.13398323364789957
1882	0.12151967702949032
1883	0.1613585455061914
1884	0.14056122186317113
1885	0.14725461338046503
1886	0.11880769943196609
1887	0.11211430791467224
1888	0.14725461338046503
1889	0.1572947006564058
1890	0.14558126550114156
1891	0.11211430791467224
1892	0.09370748124211412
1893	0.10709426427670182
1894	0.14596742270406235
1895	0.2457813365150307
1896	0.2132514537409825
1897	0.1427700410638781
1898	0.16445662957991025
1899	0.23313082654734532
1900	0.21505866945065183
1901	0.17349270812825698
1902	0.13901659305148797
1903	0.1572947006564058
1904	0.1439079176218181
1905	0.10374756851805489
1906	0.12215439519061302
1907	0.1161781527644578
1908	0.12048104731128954
1909	0.11713435155264262
1910	0.09842871275877674
1911	0.09842871275877675
1912	0.1152878987202857
1913	0.14451640775975394
1914	0.12156850378584415
1915	0.09509764299219432
1916	0.1519745935453842
1917	0.18352345157528605
1918	0.19832086655512715
1919	0.1753521300817048
1920	0.23121402464415325
1921	0.14585844341675736
1922	0.14490392244271544
1923	0.11847925545233261
1924	0.12617776978306403
1925	0.14458479270380595
1926	0.16026472067024347
1927	0.11294082978482517
1928	0.10302440905671531
1929	0.11182991410429785
1930	0.10753404136061438
1931	0.06439884151848893
1932	0.09609805584922038
1933	0.07800170889946977
1934	0.11267664953738356
1935	0.1066166565813557
1936	0.11868742948731657
1937	0.12399835822174142
1938	0.1209959119695321
1939	0.11078813816852952
1940	0.10972568069339005
1941	0.11681778813613694
1942	0.1101568228572147
1943	0.10468783885474914
1944	0.10375188597809884
1945	0.08800372402775068
1946	0.08648204580248701
1947	0.12832517779441088
1948	0.1247004738393705
1949	0.11266970537087938
1950	0.10715467852528822
1951	0.09928135235082114
1952	0.09719040343235612
1953	0.10882037272544297
1954	0.10829593719423602
1955	0.10873296680357512
1956	0.10715966020995427
1957	0.101793932944203
1958	0.10854879543107299
1959	0.10760680414876689
1960	0.09674582581594723
1961	0.0907572370067993
1962	0.08977901529055834
1963	0.088719275097964
1964	0.08749649795266282
1965	0.08602916537830138
1966	0.08369230238950356
1967	0.08132826657525459
1968	0.0780675275211181
1969	0.07407312217980086
1970	0.06994285271122795
1971	0.08338796674445083
1972	0.08951453312283394
1973	0.11179791055432206
1974	0.35469323093963656
1975	0.3235720429903074
1976	0.33950331959216795
1977	0.3465151162396926
1978	0.3246106107915371
1979	0.6572796238984212
1980	0.674740534901156
1981	0.5966994367799603
1982	0.515767446818655
1983	0.44787873275385637
1984	0.4181552328540999
1985	0.38665999041374943
1986	0.19875500368000526
1987	0.2449785347227323
1988	0.19044000449634046
1989	0.22188843877847492
1990	0.2740362040707962
1991	0.2217117370172408
1992	0.20788854062792
1993	0.17730382688856436
1994	0.16111903772500535
1995	0.16855907963182237
1996	0.19886028880109785
1997	0.17957755193771893
1998	0.11776429803519067
1999	0.16283106155887728
2000	0.24980702905644475
2001	0.2083598676852104
2002	0.2099785566279305
2003	0.23653733785322142
2004	0.3057961784270858
2005	0.4214291541188332
2006	0.48780540109416154
2007	0.5270454375250951
2008	0.6819122541449281
2009	0.4339532506853988
2010	0.550347479204587
2011	0.7466540175375754
2012	0.7342384409431171
2013	0.704125877687859
2014	0.6309519187555374
2015	0.33366013955818946
2016	0.2750801635383667
